ID,Name,Characters,Place,Ancestor,Family,Type,Fontname
6138ca71dc2a42003d456747,Psalter Pahlavi,"U+10B80,U+10B81,U+10B82,U+10B83,U+10B84,U+10B85,U+10B86,U+10B87,U+10B88,U+10B89,U+10B8A,U+10B8B,U+10B8C,U+10B8D,U+10B8E,U+10B8F,U+10B90,U+10B91","Chinese Turkestan(2), middle Iran(5), northwest of China(7)",Imperial Aramaic,Middle East,Abjad,Noto Sans Psalter Pahlavi
6138ca71dc2a42003d45674a,Phoenician,"U+10900,U+10901,U+10902,U+10903,U+10904,U+10905,U+10906,U+10907,U+10908,U+10909,U+1090A,U+1090B,U+1090C,U+1090D,U+1090E,U+1090F,U+10910,U+10911,U+10912,U+10913,U+10914,U+10915","Palestine, Lebanon, etc.",NA,Middle East,Abjad,Noto Sans Phoenician
6138ca71dc2a42003d45674d,Buginese,"U+1A00,U+1A01,U+1A02,U+1A03,U+1A04,U+1A05,U+1A06,U+1A07,U+1A08,U+1A09,U+1A0A,U+1A0B,U+1A0C,U+1A0D,U+1A0E,U+1A0F,U+1A10,U+1A11,U+1A12,U+1A13,U+1A14,U+1A15,U+1A16","Sulawesi, Indonesia",Brahmi,Insular SE Asia,Abugida,Noto Sans Buginese
6138ca71dc2a42003d456750,Sora Sompeng,"U+110D0,U+110D1,U+110D2,U+110D3,U+110D4,U+110D5,U+110D6,U+110D7,U+110D8,U+110D9,U+110E0,U+110E1,U+110E2,U+110E3,U+110E4,U+110E5,U+110E6,U+110E7,U+110E8,U+110DA,U+110DB,U+110DC,U+110DD,U+110DE,U+110DF","South Orissa, Eastern India",NA,Recent Invention,Abugida,Noto Sans Sora Sompeng
6138ca71dc2a42003d456756,Nabataean,"U+10880,U+10881,U+10882,U+10883,U+10884,U+10885,U+10886,U+10887,U+10888,U+10889,U+1088A,U+1088B,U+1088C,U+1088D,U+1088E,U+1088F,U+10890,U+10891,U+10892,U+10893,U+10894,U+10895,U+10896,U+10897,U+10898,U+10899,U+1089A,U+1089B,U+1089C,U+1089D,U+1089E","Petra, Jordan",Syriac,Middle East,Abjad,Noto Sans Nabataean
6138ca71dc2a42003d456759,Syloti Nagri,"U+A800,U+A801,U+A808,U+A809,U+A80A,U+A80C,U+A80D,U+A80E,U+A80F,U+A810,U+A811,U+A812,U+A813,U+A814,U+A815,U+A816,U+A817,U+A818,U+A819,U+A81A,U+A81B,U+A81C,U+A81D,U+A81E,U+A81F,U+A820,U+A821,U+A822,U+A807,U+A803,U+A804,U+A805","Sylhet region, Bangladesh",Kaithi,India,Abugida,Noto Sans Syloti Nagri
6138ca71dc2a42003d45675c,Lao,"U+0E81,U+0E82,U+0E84,U+0E88,U+0E8A,U+0E8D,U+0E94,U+0E95,U+0E96,U+0E97,U+0E99,U+0E9A,U+0E9B,U+0E9C,U+0E9D,U+0E9E,U+0E9F,U+0EA1,U+0EA2,U+0EA3,U+0EA5,U+0EA7,U+0EAA,U+0EAB,U+0EAD,U+0EAE,U+0EAF,U+0EBD,U+0EC0,U+0EC1,U+0EC2,U+0EC3,U+0EC4,U+0EC6,U+0E87",Laos,Khmer,Mainland SE Asia,Abugida,Noto Sans Lao
6138ca71dc2a42003d45675f,Lepcha,"U+1C00,U+1C01,U+1C02,U+1C03,U+1C04,U+1C05,U+1C06,U+1C07,U+1C08,U+1C09,U+1C0A,U+1C0B,U+1C0C,U+1C0D,U+1C0E,U+1C0F,U+1C10,U+1C11,U+1C12,U+1C13,U+1C14,U+1C15,U+1C16,U+1C17,U+1C18,U+1C19,U+1C1A,U+1C1B,U+1C1C,U+1C1D,U+1C1E,U+1C1F,U+1C20,U+1C21,U+1C22,U+1C23",Sikkim & Bhutan,Tibetan,Mainland SE Asia,Abugida,Noto Sans Lepcha
6138ca71dc2a42003d456762,Multani,"U+11280,U+11281,U+11282,U+11283,U+11284,U+11285,U+11286,U+11288,U+1128A,U+1128B,U+1128C,U+1128D,U+1128F,U+11290,U+11291,U+11292,U+11293,U+11294,U+11295,U+11296,U+11297,U+11298,U+11299,U+1129A,U+1129B,U+1129C,U+1129D,U+1129F,U+112A0,U+112A1,U+112A2,U+112A3,U+112A4,U+112A5,U+112A6,U+112A7,U+112A8","India (Punjab), Pakistan",Sharada,India,Abjad,Noto Sans Multani
6138ca71dc2a42003d456765,Soyombo,"U+11A50,U+11A5C,U+11A5D,U+11A5E,U+11A5F,U+11A60,U+11A61,U+11A62,U+11A63,U+11A64,U+11A65,U+11A66,U+11A67,U+11A68,U+11A69,U+11A6A,U+11A6B,U+11A6C,U+11A6D,U+11A6E,U+11A6F,U+11A70,U+11A71,U+11A72,U+11A73,U+11A74,U+11A75,U+11A76,U+11A77,U+11A78,U+11A79,U+11A7A,U+11A7B,U+11A7C,U+11A7D,U+11A7E,U+11A7F,U+11A80,U+11A81,U+11A82,U+11A83","Mongolia (6), Central Asia (4)",Devanagari,India,Abugida,Noto Sans Soyombo
6138ca71dc2a42003d456768,Zanabazar Square,"U+11A00,U+11A0B,U+11A0C,U+11A0D,U+11A0E,U+11A0F,U+11A10,U+11A11,U+11A12,U+11A13,U+11A14,U+11A15,U+11A16,U+11A17,U+11A18,U+11A19,U+11A1A,U+11A1B,U+11A1C,U+11A1D,U+11A1E,U+11A1F,U+11A20,U+11A21,U+11A22,U+11A23,U+11A24,U+11A25,U+11A26,U+11A27,U+11A28,U+11A29,U+11A2A,U+11A2B,U+11A2C,U+11A2D,U+11A2E,U+11A2F,U+11A30,U+11A31,U+11A32",Mongolia (4-5),Phags-pa,India,Abugida,Noto Sans Zanabazar Square
6138ca71dc2a42003d45676b,Meetei Mayek,"U+ABC0,U+ABC1,U+ABC2,U+ABC3,U+ABC4,U+ABC5,U+ABC6,U+ABC7,U+ABC8,U+ABC9,U+ABCA,U+ABCB,U+ABCC,U+ABCD,U+ABCE,U+ABCF,U+ABD0,U+ABD1,U+ABD2,U+ABD3,U+ABD4,U+ABD5,U+ABD6,U+ABD7,U+ABD8,U+ABD9,U+ABDA,U+ABDB,U+ABDC,U+ABDD,U+ABDE,U+ABDF,U+ABE0,U+ABE1,U+ABE2","Manipur, NE India",Bengali,India,Abugida,Noto Sans Meetei Mayek
6138ca71dc2a42003d45676e,Grantha,"U+11305,U+11306,U+11307,U+11308,U+11309,U+1130A,U+1130B,U+1130C,U+1130F,U+11310,U+11313,U+11314,U+11315,U+11316,U+11317,U+11318,U+11319,U+1131A,U+1131B,U+1131C,U+1131D,U+1131E,U+1131F,U+11320,U+11321,U+11322,U+11323,U+11324,U+11325,U+11326,U+11327,U+11328,U+1132A,U+1132B,U+1132C,U+1132D,U+1132E,U+1132F,U+11330,U+11332,U+11333,U+11335,U+11336,U+11337,U+11338,U+11339",Southern tip of India,Brahmi,India,Abugida,Noto Sans Grantha
6138ca71dc2a42003d456771,Khudawadi,"U+112B0,U+112B1,U+112B2,U+112B3,U+112B4,U+112B5,U+112B6,U+112B7,U+112B8,U+112B9,U+112BA,U+112BB,U+112BC,U+112BD,U+112BE,U+112BF,U+112C0,U+112C1,U+112C2,U+112C3,U+112C4,U+112C5,U+112C6,U+112C7,U+112C8,U+112C9,U+112CA,U+112CB,U+112CC,U+112CD,U+112CE,U+112CF,U+112D0,U+112D1,U+112D2,U+112D3,U+112D4,U+112D5,U+112D6,U+112D7,U+112D8,U+112D9,U+112DA,U+112DB,U+112DC,U+112DD,U+112DE","SIndh, Pakistan",NA,India,Abugida,Noto Sans Khudawadi
6138ca71dc2a42003d456774,Pracalit,"U+11400,U+11401,U+11402,U+11403,U+11404,U+11405,U+11406,U+11407,U+11408,U+11409,U+1140A,U+1140B,U+1140C,U+1140D,U+1140E,U+1140F,U+11410,U+11411,U+11412,U+11413,U+11414,U+11415,U+11416,U+11417,U+11418,U+11419,U+1141A,U+1141B,U+1141C,U+1141D,U+1141E,U+1141F,U+11420,U+11421,U+11422,U+11423,U+11424,U+11425,U+11426,U+11427,U+11428,U+11429,U+1142A,U+1142B,U+1142C,U+1142D,U+1142E,U+1142F,U+11430,U+11431,U+11432,U+11433,U+11434","Newa, Newar, Newari, Nep_la lipi",Siddham,India,Abugida,Noto Sans Newa
6138ca71dc2a42003d45677a,Tai Viet,"U+AA80,U+AA81,U+AA82,U+AA83,U+AA84,U+AA85,U+AA86,U+AA87,U+AA88,U+AA89,U+AA8A,U+AA8B,U+AA8C,U+AA8D,U+AA8E,U+AA8F,U+AA90,U+AA91,U+AA92,U+AA93,U+AA94,U+AA95,U+AA96,U+AA97,U+AA98,U+AA99,U+AA9A,U+AA9B,U+AA9C,U+AA9D,U+AA9E,U+AA9F,U+AAA0,U+AAA1,U+AAA2,U+AAA3,U+AAA4,U+AAA5,U+AAA6,U+AAA7,U+AAA8,U+AAA9,U+AAAA,U+AAAB,U+AAAC,U+AAAD,U+AAAE,U+AAAF,U+AAB1,U+AAB5,U+AAB6,U+AAB9,U+AABA,U+AABB,U+AABC,U+AABD","Borders of Vietnam, Laos, Thailand, China",Thai,Mainland SE Asia,Abugida,Noto Sans Tai Viet
6138ca71dc2a42003d45677d,Linear B,"U+10000,U+10001,U+10002,U+10003,U+10004,U+10005,U+10006,U+10007,U+10008,U+10009,U+1000A,U+1000B,U+1000D,U+1000E,U+1000F,U+10010,U+10011,U+10012,U+10013,U+10014,U+10015,U+10016,U+10017,U+10018,U+10019,U+1001A,U+1001B,U+1001C,U+1001D,U+1001E,U+1001F,U+10020,U+10021,U+10022,U+10023,U+10024,U+10025,U+10026,U+10028,U+10029,U+1002A,U+1002B,U+1002C,U+1002D,U+1002E,U+1002F,U+10030,U+10031,U+10032,U+10033,U+10034,U+10035,U+10036,U+10037,U+10038,U+10039,U+1003A,U+1003C,U+1003D,U+1003F,U+10040,U+10041,U+10042,U+10043,U+10044,U+10045,U+10046,U+10047,U+10048,U+10049,U+1004A,U+1004B,U+1004C,U+1004D",Crete,NA,Phoenician,Syllabary,Noto Sans Linear B
6138ca71dc2a42003d456780,Warang Citi,"U+118A0,U+118A1,U+118A2,U+118A3,U+118A4,U+118A5,U+118A6,U+118A7,U+118A8,U+118A9,U+118AA,U+118AB,U+118AC,U+118AD,U+118AE,U+118AF,U+118B0,U+118B1,U+118B2,U+118B3,U+118B4,U+118B5,U+118B6,U+118B7,U+118B8,U+118B9,U+118BA,U+118C0,U+118C1,U+118C2,U+118C3,U+118C4,U+118C5,U+118C6,U+118C7,U+118C8,U+118C9,U+118CA,U+118CB,U+118CC,U+118CD,U+118CE,U+118CF,U+118D0,U+118D1,U+118D2,U+118D3,U+118D4,U+118D5,U+118D6,U+118D7,U+118D8,U+118D9,U+118DA,U+118DB,U+118DC,U+118DD,U+118DE,U+118DF,U+118BB,U+118BC,U+118BD,U+118BE,U+118BF","Bihar & Orissa, India",NA,Recent Invention,Abugida,Noto Sans Warang Citi
6138ca71dc2a42003d456783,New Tai Lue,"U+1980,U+1981,U+1982,U+1983,U+1984,U+1985,U+1986,U+1987,U+1988,U+1989,U+198A,U+198B,U+198C,U+198D,U+198E,U+198F,U+1990,U+1991,U+1992,U+1993,U+1994,U+1995,U+1996,U+1997,U+1998,U+1999,U+199A,U+199B,U+199C,U+199D,U+199E,U+199F,U+19A0,U+19A1,U+19A2,U+19A3,U+19A4,U+19A5,U+19A6,U+19A7,U+19A8,U+19A9,U+19B0,U+19B1,U+19B2,U+19B3,U+19B4,U+19B5,U+19B6,U+19B7,U+19B8,U+19B9,U+19BA,U+19BB,U+19BC,U+19BD,U+19BE,U+19BF,U+19C0,U+19C1,U+19C2,U+19C3,U+19C4,U+19C5,U+19C6,U+19C7,U+19AB,U+19AA,U+19C8,U+19C9","Yunnan province, China, mountains of THailand, Vietnam, Myanmar",Tai Tham,Mainland SE Asia,Abugida,Noto Sans New Tai Lue
6138ca71dc2a42003d456789,Bamum,"U+A6A0,U+A6A1,U+A6A2,U+A6A3,U+A6A4,U+A6A5,U+A6A6,U+A6A7,U+A6A8,U+A6A9,U+A6AA,U+A6AB,U+A6AC,U+A6AD,U+A6AE,U+A6AF,U+A6B0,U+A6B1,U+A6B2,U+A6B3,U+A6B4,U+A6B5,U+A6B6,U+A6B7,U+A6B8,U+A6B9,U+A6BA,U+A6BB,U+A6BC,U+A6BD,U+A6BE,U+A6BF,U+A6C0,U+A6C1,U+A6C2,U+A6C3,U+A6C4,U+A6C5,U+A6C6,U+A6C7,U+A6C8,U+A6C9,U+A6CA,U+A6CB,U+A6CC,U+A6CD,U+A6CE,U+A6CF,U+A6D0,U+A6D1,U+A6D2,U+A6D3,U+A6D4,U+A6D5,U+A6D6,U+A6D7,U+A6D8,U+A6D9,U+A6DA,U+A6DB,U+A6DC,U+A6DD,U+A6DE,U+A6DF,U+A6E0,U+A6E1,U+A6E2,U+A6E3,U+A6E4,U+A6E5,U+A6E6,U+A6E7,U+A6E8,U+A6E9,U+A6EA,U+A6EB,U+A6EC,U+A6ED,U+A6EE,U+A6EF",Cameroon,NA,Recent Invention,Syllabary,Noto Sans Bamum
6138ca71dc2a42003d45678c,Cherokee,"U+13A0,U+13A1,U+13A2,U+13A3,U+13A4,U+13A5,U+13A6,U+13A7,U+13A8,U+13A9,U+13AA,U+13AB,U+13AC,U+13AD,U+13AE,U+13AF,U+13B0,U+13B1,U+13B2,U+13B3,U+13B4,U+13B5,U+13B6,U+13B7,U+13B8,U+13B9,U+13BA,U+13BB,U+13BC,U+13BD,U+13BE,U+13BF,U+13C0,U+13C1,U+13C2,U+13C3,U+13C4,U+13C5,U+13C6,U+13C7,U+13C8,U+13C9,U+13CA,U+13CB,U+13CC,U+13CD,U+13CE,U+13CF,U+13D0,U+13D1,U+13D2,U+13D3,U+13D4,U+13D5,U+13D6,U+13D7,U+13D8,U+13D9,U+13DA,U+13DB,U+13DC,U+13DD,U+13DE,U+13DF,U+13E0,U+13E1,U+13E2,U+13E3,U+13E4,U+13E5,U+13E6,U+13E7,U+13E8,U+13E9,U+13EA,U+13EB,U+13EC,U+13ED,U+13EE,U+13EF,U+13F0,U+13F1,U+13F2,U+13F3,U+13F4","Georgia, North & South Carolina, USA",Latin,Recent Invention,Syllabary,Noto Sans Cherokee
61681f5edeb52f009c3c4324,Batak,"U+1BC0,U+1BC1,U+1BC2,U+1BC3,U+1BC4,U+1BC5,U+1BC6,U+1BC7,U+1BC8,U+1BC9,U+1BCA,U+1BCB,U+1BCC,U+1BCD,U+1BCE,U+1BCF,U+1BD0,U+1BD1,U+1BD2,U+1BD3,U+1BD4,U+1BD5,U+1BD6,U+1BD7,U+1BD8,U+1BD9,U+1BDA,U+1BDB,U+1BDC,U+1BDD,U+1BDE,U+1BDF,U+1BE0,U+1BE1,U+1BE2,U+1BE3,U+1BE4,U+1BE5","North Sumatra, Indonesia",Bra,SE Asian Insular,abugida,Noto Sans Batak
